#LSCO S1 at T = 4 K, experimental data: 
# for B//c: B[T], rho(B)/rho(0); for B//a: B[T], rho(B)/rho(0)
5.3491e-09	 1.0004e+00	 5.3491e-09	 1.0026e+00
3.5636e-08	 1.0006e+00	 3.5636e-08	 1.0019e+00
1.3513e-07	 1.0003e+00	 1.3513e-07	 1.0022e+00
1.5078e-07	 1.0004e+00	 1.5078e-07	 1.0026e+00
1.7971e-07	 1.0003e+00	 1.7971e-07	 1.0019e+00
2.3444e-07	 1.0006e+00	 2.3444e-07	 1.0019e+00
2.5686e-07	 1.0003e+00	 2.5686e-07	 1.0023e+00
2.5917e-07	 1.0004e+00	 2.5917e-07	 1.0026e+00
4.4488e-07	 1.0004e+00	 4.4488e-07	 1.0024e+00
5.4769e-07	 1.0003e+00	 5.4769e-07	 1.0017e+00
6.1413e-07	 1.0003e+00	 6.1413e-07	 1.0022e+00
6.1862e-07	 1.0003e+00	 6.1862e-07	 1.0022e+00
6.5154e-07	 1.0003e+00	 6.5154e-07	 1.0022e+00
6.5884e-07	 1.0004e+00	 6.5884e-07	 1.0024e+00
7.8374e-07	 1.0004e+00	 7.8374e-07	 1.0023e+00
7.9230e-07	 1.0003e+00	 7.9230e-07	 1.0022e+00
7.9331e-07	 1.0003e+00	 7.9331e-07	 1.0022e+00
8.2523e-07	 1.0004e+00	 8.2523e-07	 1.0023e+00
9.5247e-07	 1.0007e+00	 9.5247e-07	 1.0018e+00
9.6545e-07	 1.0003e+00	 9.6545e-07	 1.0019e+00
9.7306e-07	 1.0004e+00	 9.7306e-07	 1.0024e+00
9.7983e-07	 1.0003e+00	 9.7983e-07	 1.0019e+00
1.0043e-06	 1.0003e+00	 1.0043e-06	 1.0021e+00
1.0421e-06	 1.0003e+00	 1.0421e-06	 1.0019e+00
1.0976e-06	 1.0003e+00	 1.0976e-06	 1.0017e+00
1.1039e-06	 1.0003e+00	 1.1039e-06	 1.0019e+00
1.2973e-06	 1.0003e+00	 1.2973e-06	 1.0019e+00
1.4161e-06	 1.0003e+00	 1.4161e-06	 1.0019e+00
1.4907e-06	 1.0003e+00	 1.4907e-06	 1.0021e+00
1.4918e-06	 1.0003e+00	 1.4918e-06	 1.0019e+00
1.5555e-06	 1.0004e+00	 1.5555e-06	 1.0017e+00
1.5797e-06	 1.0003e+00	 1.5797e-06	 1.0019e+00
1.6422e-06	 1.0007e+00	 1.6422e-06	 1.0018e+00
1.7961e-06	 1.0004e+00	 1.7961e-06	 1.0020e+00
1.8844e-06	 1.0004e+00	 1.8844e-06	 1.0020e+00
1.8941e-06	 1.0004e+00	 1.8941e-06	 1.0020e+00
1.9007e-06	 1.0004e+00	 1.9007e-06	 1.0019e+00
1.9447e-06	 1.0003e+00	 1.9447e-06	 1.0021e+00
2.0274e-06	 1.0004e+00	 2.0274e-06	 1.0019e+00
