B_4K	rho_4K	B_40K	rho_40K	B_80K	rho_80K	B_S1_30K	rho_S1_30K
	 nan	7.455	1.0041	 7.5690e+00	 1.0011e+00	22.863	 1.0539e+00
	 nan	7.4617	1.0041	 7.5758e+00	 1.0010e+00	22.882	 1.0540e+00
	 nan	7.4684	1.0041	 7.5826e+00	 1.0010e+00	22.9	 1.0539e+00
	 nan	7.4751	1.0041	 7.5894e+00	 1.0010e+00	22.919	 1.0540e+00
	 nan	7.4817	1.0042	 7.5961e+00	 1.0010e+00	22.938	 1.0540e+00
	 nan	7.4884	1.0042	 7.6029e+00	 1.0009e+00	22.956	 1.0541e+00
	 nan	7.4951	1.0042	 7.6098e+00	 1.0009e+00	22.975	 1.0541e+00
	 nan	7.5018	1.0043	 7.6166e+00	 1.0009e+00	22.993	 1.0541e+00
	 nan	7.5085	1.0043	 7.6234e+00	 1.0009e+00	23.012	 1.0542e+00
	 nan	7.5152	1.0044	 7.6302e+00	 1.0009e+00	23.03	 1.0542e+00
	 nan	7.522	1.0044	 7.6371e+00	 1.0008e+00	23.049	 1.0544e+00
	 nan	7.5287	1.0044	 7.6439e+00	 1.0009e+00	23.068	 1.0544e+00
	 nan	7.5354	1.0044	 7.6507e+00	 1.0009e+00	23.087	 1.0546e+00
	 nan	7.5421	1.0045	 7.6576e+00	 1.0009e+00	23.105	 1.0546e+00
	 nan	7.5489	1.0045	 7.6644e+00	 1.0009e+00	23.124	 1.0548e+00
	 nan	7.5556	1.0045	 7.6713e+00	 1.0009e+00	23.142	 1.0549e+00
	 nan	7.5624	1.0046	 7.6781e+00	 1.0009e+00	23.161	 1.0550e+00
	 nan	7.5691	1.0046	 7.6850e+00	 1.0009e+00	23.18	 1.0552e+00
	 nan	7.5759	1.0046	 7.6919e+00	 1.0010e+00	23.199	 1.0552e+00
	 nan	7.5827	1.0046	 7.6988e+00	 1.0010e+00	23.218	 1.0554e+00
	 nan	7.5894	1.0047	 7.7057e+00	 1.0010e+00	23.236	 1.0554e+00
	 nan	7.5962	1.0047	 7.7125e+00	 1.0010e+00	23.255	 1.0555e+00
	 nan	7.603	1.0047	 7.7194e+00	 1.0010e+00	23.274	 1.0556e+00
	 nan	7.6098	1.0047	 7.7263e+00	 1.0011e+00	23.293	 1.0556e+00
	 nan	7.6166	1.0047	 7.7332e+00	 1.0011e+00	23.311	 1.0557e+00
	 nan	7.6234	1.0048	 7.7402e+00	 1.0011e+00	23.33	 1.0556e+00
	 nan	7.6302	1.0048	 7.7471e+00	 1.0011e+00	23.349	 1.0558e+00
	 nan	7.637	1.0048	 7.7540e+00	 1.0011e+00	23.368	 1.0557e+00
