B_4K	rho_4K	B_40K	rho_40K	B_80K	rho_80K	B_S1_30K	rho_S1_30K
23.051	 9.1183e-01	0.02002	1.0005	 2.0047e-02	 1.0002e+00	0.20022	 9.9503e-01
23.069	 9.1443e-01	0.020098	1.0005	 2.0126e-02	 1.0002e+00	0.20048	 9.9501e-01
23.088	 9.1684e-01	0.020178	1.0005	 2.0206e-02	 1.0002e+00	0.20074	 9.9502e-01
23.106	 9.1926e-01	0.020256	1.0005	 2.0287e-02	 1.0002e+00	0.201	 9.9501e-01
23.125	 9.2183e-01	0.020335	1.0005	 2.0367e-02	 1.0002e+00	0.20125	 9.9502e-01
23.143	 9.2408e-01	0.020414	1.0005	 2.0448e-02	 1.0001e+00	0.20151	 9.9504e-01
23.162	 9.2675e-01	0.020493	1.0005	 2.0528e-02	 1.0001e+00	0.20177	 9.9506e-01
23.181	 9.2898e-01	0.020572	1.0004	 2.0608e-02	 1.0001e+00	0.20203	 9.9510e-01
23.199	 9.3160e-01	0.020651	1.0004	 2.0689e-02	 1.0001e+00	0.20228	 9.9513e-01
23.218	 9.3397e-01	0.02073	1.0004	 2.0769e-02	 1.0001e+00	0.20254	 9.9519e-01
23.236	 9.3639e-01	0.02081	1.0004	 2.0850e-02	 1.0001e+00	0.2028	 9.9525e-01
23.255	 9.3891e-01	0.020889	1.0004	 2.0931e-02	 1.0000e+00	0.20306	 9.9534e-01
23.274	 9.4111e-01	0.020969	1.0004	 2.1012e-02	 1.0000e+00	0.20332	 9.9543e-01
23.293	 9.4369e-01	0.021049	1.0004	 2.1093e-02	 1.0000e+00	0.20358	 9.9553e-01
23.311	 9.4582e-01	0.021129	1.0003	 2.1174e-02	 9.9997e-01	0.20384	 9.9564e-01
23.33	 9.4832e-01	0.021208	1.0003	 2.1255e-02	 9.9996e-01	0.2041	 9.9575e-01
23.349	 9.5053e-01	0.021288	1.0003	 2.1336e-02	 9.9993e-01	0.20436	 9.9588e-01
23.367	 9.5282e-01	0.021368	1.0003	 2.1417e-02	 9.9992e-01	0.20462	 9.9600e-01
23.386	 9.5513e-01	0.021448	1.0003	 2.1499e-02	 9.9990e-01	0.20488	 9.9612e-01
23.405	 9.5717e-01	0.021528	1.0002	 2.1580e-02	 9.9989e-01	0.20514	 9.9624e-01
23.424	 9.5959e-01	0.021608	1.0002	 2.1662e-02	 9.9988e-01	0.20541	 9.9636e-01
23.442	 9.6155e-01	0.021687	1.0002	 2.1744e-02	 9.9987e-01	0.20567	 9.9648e-01
23.461	 9.6394e-01	0.021767	1.0002	 2.1826e-02	 9.9986e-01	0.20593	 9.9657e-01
23.48	 9.6598e-01	0.021848	1.0002	 2.1907e-02	 9.9986e-01	0.20619	 9.9667e-01
23.499	 9.6814e-01	0.021928	1.0002	 2.1989e-02	 9.9986e-01	0.20645	 9.9674e-01
23.517	 9.7029e-01	0.02201	1.0002	 2.2071e-02	 9.9986e-01	0.20672	 9.9681e-01
23.536	 9.7218e-01	0.02209	1.0002	 2.2153e-02	 9.9986e-01	0.20698	 9.9686e-01
23.555	 9.7442e-01	0.022171	1.0002	 2.2234e-02	 9.9986e-01	0.20724	 9.9689e-01
23.574	 9.7618e-01	0.022252	1.0003	 2.2316e-02	 9.9987e-01	0.2075	 9.9691e-01
23.593	 9.7835e-01	0.022333	1.0003	 2.2398e-02	 9.9988e-01	0.20777	 9.9691e-01
23.612	 9.8015e-01	0.022414	1.0003	 2.2480e-02	 9.9989e-01	0.20803	 9.9691e-01
23.631	 9.8208e-01	0.022495	1.0003	 2.2562e-02	 9.9991e-01	0.2083	 9.9689e-01
23.649	 9.8396e-01	0.022576	1.0003	 2.2645e-02	 9.9993e-01	0.20856	 9.9688e-01
23.668	 9.8560e-01	0.022657	1.0003	 2.2727e-02	 9.9995e-01	0.20883	 9.9685e-01
23.687	 9.8757e-01	0.022738	1.0003	 2.2809e-02	 9.9997e-01	0.20909	 9.9682e-01
23.706	 9.8906e-01	0.022819	1.0003	 2.2892e-02	 1.0000e+00	0.20936	 9.9679e-01
23.725	 9.9098e-01	0.0229	1.0003	 2.2974e-02	 1.0000e+00	0.20962	 9.9675e-01
23.744	 9.9250e-01	0.022982	1.0003	 2.3057e-02	 1.0001e+00	0.20989	 9.9672e-01
23.763	 9.9421e-01	0.023063	1.0003	 2.3140e-02	 1.0001e+00	0.21015	 9.9667e-01
23.782	 9.9586e-01	0.023144	1.0003	 2.3223e-02	 1.0001e+00	0.21042	 9.9664e-01
23.801	 9.9735e-01	0.023225	1.0003	 2.3305e-02	 1.0002e+00	0.21068	 9.9659e-01
23.82	 9.9917e-01	0.023306	1.0003	 2.3388e-02	 1.0002e+00	0.21095	 9.9655e-01
23.839	 1.0006e+00	0.023388	1.0003	 2.3471e-02	 1.0002e+00	0.21122	 9.9651e-01
23.858	 1.0025e+00	0.02347	1.0003	 2.3555e-02	 1.0002e+00	0.21149	 9.9646e-01
23.877	 1.0041e+00	0.023551	1.0003	 2.3638e-02	 1.0003e+00	0.21175	 9.9642e-01
23.896	 1.0059e+00	0.023633	1.0003	 2.3722e-02	 1.0003e+00	0.21202	 9.9636e-01
23.915	 1.0077e+00	0.023714	1.0002	 2.3805e-02	 1.0003e+00	0.21229	 9.9632e-01
23.934	 1.0093e+00	0.023797	1.0002	 2.3889e-02	 1.0003e+00	0.21256	 9.9626e-01
23.954	 1.0113e+00	0.023879	1.0002	 2.3972e-02	 1.0003e+00	0.21283	 9.9621e-01
23.973	 1.0129e+00	0.023962	1.0002	 2.4056e-02	 1.0003e+00	0.21309	 9.9615e-01
23.992	 1.0150e+00	0.024045	1.0002	 2.4140e-02	 1.0004e+00	0.21336	 9.9609e-01
24.011	 1.0167e+00	0.024127	1.0002	 2.4223e-02	 1.0004e+00	0.21363	 9.9604e-01
24.03	 1.0186e+00	0.02421	1.0002	 2.4307e-02	 1.0004e+00	0.2139	 9.9596e-01
24.049	 1.0204e+00	0.024293	1.0001	 2.4391e-02	 1.0004e+00	0.21417	 9.9591e-01
24.068	 1.0221e+00	0.024375	1.0001	 2.4475e-02	 1.0004e+00	0.21444	 9.9585e-01
24.088	 1.0241e+00	0.024458	1.0001	 2.4559e-02	 1.0004e+00	0.21471	 9.9579e-01
24.107	 1.0256e+00	0.024541	1.0001	 2.4643e-02	 1.0004e+00	0.21498	 9.9575e-01
24.126	 1.0277e+00	0.024624	1.0001	 2.4727e-02	 1.0003e+00	0.21525	 9.9570e-01
24.145	 1.0292e+00	0.024707	1.0001	 2.4812e-02	 1.0003e+00	0.21552	 9.9568e-01
24.165	 1.0311e+00	0.024789	1.0001	 2.4896e-02	 1.0003e+00	0.2158	 9.9565e-01
24.184	 1.0328e+00	0.024872	1.0	 2.4980e-02	 1.0003e+00	0.21607	 9.9564e-01
24.203	 1.0345e+00	0.024955	1.0	 2.5065e-02	 1.0003e+00	0.21634	 9.9563e-01
24.222	 1.0364e+00	0.025038	0.99997	 2.5149e-02	 1.0002e+00	0.21661	 9.9564e-01
24.241	 1.0379e+00	0.025121	0.99995	 2.5233e-02	 1.0002e+00	0.21688	 9.9565e-01
24.261	 1.0399e+00	0.025205	0.99993	 2.5318e-02	 1.0002e+00	0.21715	 9.9566e-01
24.28	 1.0414e+00	0.025289	0.9999	 2.5402e-02	 1.0002e+00	0.21743	 9.9569e-01
24.299	 1.0433e+00	0.025372	0.99989	 2.5487e-02	 1.0002e+00	0.2177	 9.9571e-01
24.319	 1.0449e+00	0.025455	0.99987	 2.5572e-02	 1.0002e+00	0.21797	 9.9574e-01
24.338	 1.0465e+00	0.025539	0.99986	 2.5656e-02	 1.0002e+00	0.21824	 9.9577e-01
24.358	 1.0483e+00	0.025623	0.99985	 2.5741e-02	 1.0002e+00	0.21852	 9.9581e-01
24.377	 1.0497e+00	0.025706	0.99984	 2.5826e-02	 1.0002e+00	0.21879	 9.9585e-01
24.396	 1.0516e+00	0.02579	0.99983	 2.5912e-02	 1.0002e+00	0.21907	 9.9588e-01
24.416	 1.0531e+00	0.025874	0.99982	 2.5997e-02	 1.0002e+00	0.21934	 9.9593e-01
24.435	 1.0549e+00	0.025958	0.99982	 2.6082e-02	 1.0002e+00	0.21962	 9.9596e-01
24.454	 1.0565e+00	0.026042	0.99981	 2.6167e-02	 1.0002e+00	0.21989	 9.9600e-01
24.474	 1.0582e+00	0.026127	0.9998	 2.6252e-02	 1.0002e+00	0.22016	 9.9602e-01
24.493	 1.0600e+00	0.026212	0.99978	 2.6337e-02	 1.0002e+00	0.22044	 9.9605e-01
24.513	 1.0615e+00	0.026296	0.99977	 2.6423e-02	 1.0002e+00	0.22071	 9.9606e-01
24.532	 1.0635e+00	0.026381	0.99976	 2.6508e-02	 1.0002e+00	0.22099	 9.9607e-01
24.552	 1.0649e+00	0.026465	0.99974	 2.6594e-02	 1.0003e+00	0.22127	 9.9608e-01
24.571	 1.0668e+00	0.02655	0.99974	 2.6680e-02	 1.0003e+00	0.22154	 9.9606e-01
24.591	 1.0683e+00	0.026634	0.99973	 2.6766e-02	 1.0003e+00	0.22182	 9.9605e-01
24.61	 1.0699e+00	0.026719	0.99974	 2.6852e-02	 1.0003e+00	0.2221	 9.9602e-01
24.63	 1.0716e+00	0.026803	0.99973	 2.6938e-02	 1.0004e+00	0.22237	 9.9599e-01
24.649	 1.0730e+00	0.026888	0.99974	 2.7024e-02	 1.0004e+00	0.22265	 9.9594e-01
24.669	 1.0747e+00	0.026973	0.99974	 2.7110e-02	 1.0004e+00	0.22293	 9.9590e-01
24.689	 1.0760e+00	0.027058	0.99975	 2.7197e-02	 1.0004e+00	0.22321	 9.9586e-01
24.708	 1.0777e+00	0.027142	0.99976	 2.7284e-02	 1.0004e+00	0.22349	 9.9581e-01
24.728	 1.0790e+00	0.027227	0.99977	 2.7370e-02	 1.0004e+00	0.22376	 9.9578e-01
24.747	 1.0804e+00	0.027312	0.99978	 2.7456e-02	 1.0004e+00	0.22404	 9.9574e-01
24.767	 1.0819e+00	0.027397	0.99979	 2.7543e-02	 1.0004e+00	0.22432	 9.9572e-01
24.787	 1.0832e+00	0.027482	0.9998	 2.7629e-02	 1.0004e+00	0.2246	 9.9570e-01
24.806	 1.0848e+00	0.027567	0.99981	 2.7716e-02	 1.0004e+00	0.22488	 9.9568e-01
24.826	 1.0860e+00	0.027653	0.99981	 2.7803e-02	 1.0003e+00	0.22516	 9.9567e-01
24.846	 1.0876e+00	0.027739	0.99983	 2.7890e-02	 1.0003e+00	0.22544	 9.9565e-01
24.865	 1.0888e+00	0.027824	0.99983	 2.7978e-02	 1.0003e+00	0.22572	 9.9566e-01
24.885	 1.0903e+00	0.027911	0.99986	 2.8065e-02	 1.0003e+00	0.226	 9.9564e-01
24.905	 1.0917e+00	0.027997	0.99988	 2.8153e-02	 1.0003e+00	0.22628	 9.9564e-01
24.924	 1.0930e+00	0.028083	0.99991	 2.8240e-02	 1.0003e+00	0.22656	 9.9563e-01
24.944	 1.0947e+00	0.028169	0.99993	 2.8328e-02	 1.0002e+00	0.22684	 9.9563e-01
24.964	 1.0959e+00	0.028255	0.99997	 2.8416e-02	 1.0002e+00	0.22713	 9.9562e-01
24.983	 1.0976e+00	0.028341	1.0	 2.8503e-02	 1.0002e+00	0.22741	 9.9561e-01
25.003	 1.0989e+00	0.028427	1.0	 2.8591e-02	 1.0002e+00	0.22769	 9.9562e-01
25.023	 1.1005e+00	0.028513	1.0001	 2.8678e-02	 1.0002e+00	0.22797	 9.9561e-01
25.043	 1.1020e+00	0.028599	1.0001	 2.8766e-02	 1.0001e+00	0.22826	 9.9562e-01
25.063	 1.1034e+00	0.028686	1.0001	 2.8855e-02	 1.0001e+00	0.22854	 9.9561e-01
25.082	 1.1051e+00	0.028771	1.0002	 2.8943e-02	 1.0001e+00	0.22882	 9.9561e-01
25.102	 1.1063e+00	0.028858	1.0002	 2.9031e-02	 1.0001e+00	0.2291	 9.9562e-01
25.122	 1.1080e+00	0.028945	1.0002	 2.9119e-02	 1.0001e+00	0.22939	 9.9562e-01
25.142	 1.1093e+00	0.029031	1.0003	 2.9207e-02	 1.0001e+00	0.22967	 9.9563e-01
25.162	 1.1108e+00	0.029118	1.0003	 2.9295e-02	 1.0000e+00	0.22996	 9.9564e-01
25.182	 1.1122e+00	0.029205	1.0003	 2.9384e-02	 1.0000e+00	0.23024	 9.9567e-01
25.202	 1.1136e+00	0.029293	1.0003	 2.9472e-02	 1.0000e+00	0.23053	 9.9569e-01
25.222	 1.1152e+00	0.029379	1.0003	 2.9561e-02	 9.9999e-01	0.23081	 9.9572e-01
25.241	 1.1163e+00	0.029466	1.0004	 2.9649e-02	 9.9997e-01	0.23109	 9.9575e-01
25.261	 1.1179e+00	0.029553	1.0004	 2.9738e-02	 9.9996e-01	0.23138	 9.9578e-01
25.281	 1.1191e+00	0.02964	1.0004	 2.9826e-02	 9.9995e-01	0.23167	 9.9583e-01
25.301	 1.1206e+00	0.029727	1.0004	 2.9915e-02	 9.9994e-01	0.23195	 9.9586e-01
25.321	 1.1219e+00	0.029814	1.0004	 3.0003e-02	 9.9993e-01	0.23224	 9.9590e-01
25.341	 1.1232e+00	0.029902	1.0004	 3.0092e-02	 9.9992e-01	0.23253	 9.9594e-01
25.361	 1.1248e+00	0.029989	1.0004	 3.0181e-02	 9.9991e-01	0.23281	 9.9598e-01
25.381	 1.1260e+00	0.030076	1.0004	 3.0271e-02	 9.9991e-01	0.2331	 9.9602e-01
25.401	 1.1276e+00	0.030163	1.0004	 3.0360e-02	 9.9991e-01	0.23339	 9.9605e-01
25.421	 1.1287e+00	0.030251	1.0004	 3.0448e-02	 9.9991e-01	0.23367	 9.9609e-01
25.441	 1.1303e+00	0.030339	1.0004	 3.0538e-02	 9.9992e-01	0.23396	 9.9610e-01
25.462	 1.1316e+00	0.030426	1.0003	 3.0627e-02	 9.9992e-01	0.23425	 9.9613e-01
25.482	 1.1329e+00	0.030515	1.0003	 3.0716e-02	 9.9994e-01	0.23454	 9.9613e-01
25.502	 1.1344e+00	0.030603	1.0002	 3.0806e-02	 9.9995e-01	0.23483	 9.9613e-01
25.522	 1.1355e+00	0.030691	1.0002	 3.0896e-02	 9.9996e-01	0.23512	 9.9612e-01
25.542	 1.1371e+00	0.030779	1.0002	 3.0985e-02	 9.9997e-01	0.23541	 9.9610e-01
25.562	 1.1381e+00	0.030868	1.0001	 3.1075e-02	 9.9998e-01	0.2357	 9.9609e-01
25.582	 1.1396e+00	0.030956	1.0001	 3.1164e-02	 1.0000e+00	0.23599	 9.9606e-01
25.602	 1.1407e+00	0.031044	1.0	 3.1254e-02	 1.0000e+00	0.23628	 9.9605e-01
25.622	 1.1419e+00	0.031132	0.99998	 3.1344e-02	 1.0000e+00	0.23657	 9.9601e-01
25.642	 1.1433e+00	0.031221	0.99993	 3.1434e-02	 1.0000e+00	0.23686	 9.9600e-01
25.663	 1.1443e+00	0.031309	0.99988	 3.1524e-02	 1.0000e+00	0.23715	 9.9598e-01
25.683	 1.1456e+00	0.031398	0.99983	 3.1614e-02	 1.0000e+00	0.23744	 9.9596e-01
25.703	 1.1465e+00	0.031486	0.99977	 3.1704e-02	 1.0000e+00	0.23773	 9.9596e-01
25.723	 1.1478e+00	0.031576	0.99974	 3.1795e-02	 1.0000e+00	0.23802	 9.9594e-01
25.744	 1.1487e+00	0.031665	0.99969	 3.1885e-02	 1.0000e+00	0.23831	 9.9594e-01
25.764	 1.1498e+00	0.031753	0.99966	 3.1976e-02	 1.0000e+00	0.23861	 9.9593e-01
25.784	 1.1510e+00	0.031842	0.99962	 3.2067e-02	 1.0000e+00	0.2389	 9.9593e-01
25.804	 1.1518e+00	0.031931	0.9996	 3.2157e-02	 1.0000e+00	0.23919	 9.9593e-01
25.825	 1.1530e+00	0.032021	0.99959	 3.2248e-02	 1.0001e+00	0.23949	 9.9592e-01
25.845	 1.1538e+00	0.03211	0.99957	 3.2339e-02	 1.0001e+00	0.23978	 9.9591e-01
25.865	 1.1550e+00	0.032199	0.99958	 3.2431e-02	 1.0001e+00	0.24007	 9.9590e-01
25.886	 1.1559e+00	0.032288	0.99959	 3.2522e-02	 1.0001e+00	0.24037	 9.9589e-01
25.906	 1.1570e+00	0.032378	0.99961	 3.2613e-02	 1.0001e+00	0.24066	 9.9588e-01
25.926	 1.1581e+00	0.032467	0.99964	 3.2704e-02	 1.0001e+00	0.24096	 9.9587e-01
25.947	 1.1590e+00	0.032556	0.99967	 3.2796e-02	 1.0001e+00	0.24125	 9.9587e-01
25.967	 1.1602e+00	0.032646	0.99972	 3.2887e-02	 1.0001e+00	0.24155	 9.9587e-01
25.987	 1.1610e+00	0.032736	0.99977	 3.2978e-02	 1.0001e+00	0.24184	 9.9588e-01
26.008	 1.1622e+00	0.032826	0.99983	 3.3069e-02	 1.0001e+00	0.24214	 9.9588e-01
26.028	 1.1631e+00	0.032916	0.99989	 3.3161e-02	 1.0001e+00	0.24243	 9.9590e-01
26.049	 1.1641e+00	0.033006	0.99996	 3.3252e-02	 1.0001e+00	0.24273	 9.9590e-01
26.069	 1.1651e+00	0.033096	1.0	 3.3344e-02	 1.0001e+00	0.24303	 9.9592e-01
26.09	 1.1659e+00	0.033186	1.0001	 3.3436e-02	 1.0001e+00	0.24332	 9.9593e-01
26.11	 1.1670e+00	0.033276	1.0001	 3.3528e-02	 1.0001e+00	0.24362	 9.9593e-01
26.13	 1.1675e+00	0.033366	1.0002	 3.3620e-02	 1.0001e+00	0.24392	 9.9594e-01
26.151	 1.1685e+00	0.033456	1.0002	 3.3712e-02	 1.0001e+00	0.24421	 9.9594e-01
26.171	 1.1691e+00	0.033547	1.0002	 3.3804e-02	 1.0001e+00	0.24451	 9.9594e-01
26.192	 1.1699e+00	0.033637	1.0003	 3.3897e-02	 1.0001e+00	0.24481	 9.9593e-01
26.212	 1.1706e+00	0.033728	1.0003	 3.3989e-02	 1.0001e+00	0.24511	 9.9593e-01
26.233	 1.1712e+00	0.033819	1.0002	 3.4081e-02	 1.0001e+00	0.24541	 9.9591e-01
26.253	 1.1721e+00	0.033911	1.0002	 3.4174e-02	 1.0001e+00	0.24571	 9.9590e-01
26.274	 1.1725e+00	0.034002	1.0002	 3.4266e-02	 1.0001e+00	0.246	 9.9589e-01
26.295	 1.1735e+00	0.034093	1.0002	 3.4359e-02	 1.0001e+00	0.2463	 9.9586e-01
26.315	 1.1741e+00	0.034185	1.0001	 3.4452e-02	 1.0001e+00	0.2466	 9.9585e-01
26.336	 1.1751e+00	0.034277	1.0001	 3.4544e-02	 1.0001e+00	0.2469	 9.9581e-01
26.357	 1.1760e+00	0.034368	1.0001	 3.4638e-02	 1.0001e+00	0.2472	 9.9579e-01
26.377	 1.1768e+00	0.03446	1.0	 3.4730e-02	 1.0001e+00	0.24751	 9.9576e-01
26.398	 1.1779e+00	0.034551	1.0	 3.4824e-02	 1.0001e+00	0.24781	 9.9573e-01
26.418	 1.1787e+00	0.034643	0.99996	 3.4917e-02	 1.0001e+00	0.24811	 9.9571e-01
26.439	 1.1800e+00	0.034735	0.99992	 3.5010e-02	 1.0001e+00	0.24841	 9.9567e-01
26.46	 1.1809e+00	0.034827	0.99988	 3.5103e-02	 1.0000e+00	0.24871	 9.9565e-01
26.48	 1.1821e+00	0.034919	0.99984	 3.5196e-02	 1.0000e+00	0.24901	 9.9561e-01
26.501	 1.1833e+00	0.035012	0.99981	 3.5290e-02	 1.0000e+00	0.24931	 9.9558e-01
26.522	 1.1844e+00	0.035105	0.99978	 3.5383e-02	 9.9999e-01	0.24962	 9.9554e-01
26.543	 1.1858e+00	0.035197	0.99975	 3.5477e-02	 9.9997e-01	0.24992	 9.9551e-01
26.563	 1.1868e+00	0.03529	0.99973	 3.5570e-02	 9.9996e-01	0.25022	 9.9549e-01
26.584	 1.1883e+00	0.035383	0.99972	 3.5664e-02	 9.9995e-01	0.25053	 9.9545e-01
26.605	 1.1893e+00	0.035476	0.99971	 3.5758e-02	 9.9993e-01	0.25083	 9.9544e-01
26.626	 1.1907e+00	0.035569	0.99971	 3.5852e-02	 9.9993e-01	0.25114	 9.9542e-01
26.646	 1.1919e+00	0.035663	0.99971	 3.5946e-02	 9.9992e-01	0.25144	 9.9542e-01
26.667	 1.1929e+00	0.035756	0.99972	 3.6040e-02	 9.9992e-01	0.25175	 9.9541e-01
26.688	 1.1942e+00	0.035849	0.99973	 3.6134e-02	 9.9992e-01	0.25205	 9.9541e-01
26.709	 1.1950e+00	0.035943	0.99974	 3.6228e-02	 9.9992e-01	0.25235	 9.9542e-01
26.73	 1.1962e+00	0.036036	0.99975	 3.6322e-02	 9.9993e-01	0.25266	 9.9543e-01
26.75	 1.1970e+00	0.036129	0.99974	 3.6417e-02	 9.9994e-01	0.25296	 9.9545e-01
26.771	 1.1980e+00	0.036222	0.99974	 3.6512e-02	 9.9996e-01	0.25327	 9.9547e-01
26.792	 1.1988e+00	0.036316	0.99973	 3.6607e-02	 9.9998e-01	0.25358	 9.9550e-01
26.813	 1.1995e+00	0.03641	0.99971	 3.6701e-02	 1.0000e+00	0.25388	 9.9552e-01
26.834	 1.2004e+00	0.036503	0.99969	 3.6796e-02	 1.0000e+00	0.25419	 9.9556e-01
26.855	 1.2009e+00	0.036597	0.99967	 3.6891e-02	 1.0001e+00	0.2545	 9.9559e-01
26.876	 1.2018e+00	0.036692	0.99965	 3.6986e-02	 1.0001e+00	0.25481	 9.9562e-01
26.897	 1.2023e+00	0.036787	0.99963	 3.7081e-02	 1.0001e+00	0.25511	 9.9566e-01
26.918	 1.2031e+00	0.036881	0.99962	 3.7177e-02	 1.0001e+00	0.25542	 9.9569e-01
26.939	 1.2037e+00	0.036975	0.99961	 3.7272e-02	 1.0002e+00	0.25573	 9.9573e-01
26.96	 1.2043e+00	0.037069	0.99961	 3.7367e-02	 1.0002e+00	0.25604	 9.9575e-01
26.981	 1.2051e+00	0.037163	0.99961	 3.7463e-02	 1.0002e+00	0.25634	 9.9578e-01
27.002	 1.2055e+00	0.037257	0.99962	 3.7559e-02	 1.0003e+00	0.25666	 9.9580e-01
27.023	 1.2064e+00	0.037352	0.99964	 3.7655e-02	 1.0003e+00	0.25696	 9.9581e-01
27.044	 1.2068e+00	0.037447	0.99966	 3.7751e-02	 1.0003e+00	0.25727	 9.9583e-01
27.065	 1.2076e+00	0.037541	0.9997	 3.7847e-02	 1.0004e+00	0.25758	 9.9583e-01
27.086	 1.2081e+00	0.037637	0.99973	 3.7944e-02	 1.0004e+00	0.25789	 9.9584e-01
27.107	 1.2087e+00	0.037732	0.99977	 3.8041e-02	 1.0004e+00	0.2582	 9.9582e-01
27.128	 1.2094e+00	0.037827	0.99981	 3.8136e-02	 1.0004e+00	0.25851	 9.9582e-01
27.149	 1.2098e+00	0.037922	0.99985	 3.8233e-02	 1.0004e+00	0.25883	 9.9581e-01
27.17	 1.2106e+00	0.038017	0.99989	 3.8329e-02	 1.0004e+00	0.25914	 9.9579e-01
27.191	 1.2110e+00	0.038113	0.99993	 3.8426e-02	 1.0004e+00	0.25945	 9.9579e-01
27.212	 1.2118e+00	0.038208	0.99998	 3.8523e-02	 1.0004e+00	0.25976	 9.9576e-01
27.234	 1.2123e+00	0.038303	1.0	 3.8620e-02	 1.0004e+00	0.26007	 9.9575e-01
27.255	 1.2129e+00	0.038398	1.0001	 3.8716e-02	 1.0004e+00	0.26038	 9.9573e-01
27.276	 1.2135e+00	0.038494	1.0001	 3.8813e-02	 1.0004e+00	0.2607	 9.9572e-01
27.297	 1.2139e+00	0.03859	1.0001	 3.8911e-02	 1.0004e+00	0.26101	 9.9570e-01
27.318	 1.2147e+00	0.038686	1.0002	 3.9007e-02	 1.0004e+00	0.26132	 9.9568e-01
27.34	 1.2150e+00	0.038782	1.0002	 3.9105e-02	 1.0004e+00	0.26164	 9.9566e-01
27.361	 1.2159e+00	0.038878	1.0002	 3.9202e-02	 1.0004e+00	0.26195	 9.9563e-01
27.382	 1.2163e+00	0.038975	1.0002	 3.9299e-02	 1.0004e+00	0.26226	 9.9562e-01
27.403	 1.2169e+00	0.039071	1.0003	 3.9397e-02	 1.0004e+00	0.26258	 9.9558e-01
27.424	 1.2175e+00	0.039168	1.0003	 3.9495e-02	 1.0004e+00	0.26289	 9.9556e-01
27.446	 1.2179e+00	0.039264	1.0003	 3.9592e-02	 1.0003e+00	0.26321	 9.9552e-01
27.467	 1.2187e+00	0.03936	1.0003	 3.9690e-02	 1.0003e+00	0.26352	 9.9549e-01
27.488	 1.2190e+00	0.039456	1.0003	 3.9788e-02	 1.0003e+00	0.26384	 9.9546e-01
27.51	 1.2199e+00	0.039553	1.0003	 3.9887e-02	 1.0003e+00	0.26415	 9.9542e-01
27.531	 1.2203e+00	0.039649	1.0003	 3.9985e-02	 1.0003e+00	0.26447	 9.9541e-01
27.552	 1.2210e+00	0.039746	1.0003	 4.0083e-02	 1.0003e+00	0.26478	 9.9538e-01
27.574	 1.2217e+00	0.039843	1.0003	 4.0181e-02	 1.0003e+00	0.2651	 9.9537e-01
27.595	 1.2223e+00	0.039939	1.0003	 4.0280e-02	 1.0003e+00	0.26542	 9.9537e-01
27.616	 1.2232e+00	0.040036	1.0003	 4.0379e-02	 1.0003e+00	0.26573	 9.9537e-01
27.638	 1.2237e+00	0.040133	1.0003	 4.0477e-02	 1.0003e+00	0.26605	 9.9539e-01
27.659	 1.2248e+00	0.04023	1.0004	 4.0576e-02	 1.0003e+00	0.26637	 9.9541e-01
27.681	 1.2254e+00	0.040327	1.0003	 4.0674e-02	 1.0003e+00	0.26669	 9.9545e-01
27.702	 1.2264e+00	0.040425	1.0004	 4.0773e-02	 1.0003e+00	0.26701	 9.9548e-01
27.724	 1.2272e+00	0.040522	1.0003	 4.0872e-02	 1.0003e+00	0.26733	 9.9552e-01
27.745	 1.2280e+00	0.04062	1.0004	 4.0972e-02	 1.0003e+00	0.26765	 9.9556e-01
27.766	 1.2291e+00	0.040718	1.0004	 4.1071e-02	 1.0003e+00	0.26796	 9.9561e-01
27.788	 1.2297e+00	0.040815	1.0003	 4.1170e-02	 1.0002e+00	0.26828	 9.9566e-01
27.809	 1.2309e+00	0.040913	1.0003	 4.1270e-02	 1.0002e+00	0.2686	 9.9571e-01
27.831	 1.2316e+00	0.041012	1.0003	 4.1369e-02	 1.0002e+00	0.26893	 9.9576e-01
27.852	 1.2326e+00	0.04111	1.0003	 4.1469e-02	 1.0002e+00	0.26925	 9.9580e-01
27.874	 1.2334e+00	0.041209	1.0003	 4.1568e-02	 1.0002e+00	0.26957	 9.9585e-01
27.895	 1.2341e+00	0.041307	1.0003	 4.1668e-02	 1.0002e+00	0.26989	 9.9589e-01
27.917	 1.2351e+00	0.041405	1.0003	 4.1767e-02	 1.0001e+00	0.27021	 9.9592e-01
27.939	 1.2357e+00	0.041503	1.0002	 4.1867e-02	 1.0001e+00	0.27053	 9.9595e-01
27.96	 1.2367e+00	0.041602	1.0002	 4.1967e-02	 1.0001e+00	0.27085	 9.9597e-01
27.982	 1.2372e+00	0.041701	1.0002	 4.2067e-02	 1.0001e+00	0.27118	 9.9599e-01
28.003	 1.2380e+00	0.0418	1.0002	 4.2167e-02	 1.0001e+00	0.2715	 9.9599e-01
28.025	 1.2385e+00	0.041899	1.0001	 4.2268e-02	 1.0001e+00	0.27182	 9.9599e-01
28.047	 1.2390e+00	0.041998	1.0001	 4.2369e-02	 1.0000e+00	0.27215	 9.9597e-01
28.068	 1.2397e+00	0.042097	1.0001	 4.2468e-02	 1.0000e+00	0.27247	 9.9595e-01
28.09	 1.2401e+00	0.042195	1.0001	 4.2568e-02	 1.0000e+00	0.27279	 9.9592e-01
28.111	 1.2408e+00	0.042295	1.0001	 4.2668e-02	 1.0000e+00	0.27312	 9.9588e-01
