B_4K	rho_4K	B_40K	rho_40K	B_80K	rho_80K	B_Nd_30K	rho_Nd_30K
52.21	 1.2338e+00	0.80385	0.99761	 1.0195e+00	 9.9963e-01	 3.1912e+01	 1.0444e+00
52.238	 1.2341e+00	0.80446	0.9991	 1.0203e+00	 9.9955e-01	 3.1899e+01	 1.0441e+00
52.266	 1.2352e+00	0.80507	0.99774	 1.0211e+00	 9.9959e-01	 3.1886e+01	 1.0434e+00
52.293	 1.2365e+00	0.80568	0.9991	 1.0219e+00	 9.9967e-01	 3.1873e+01	 1.0427e+00
52.321	 1.2375e+00	0.80629	0.99837	 1.0227e+00	 9.9977e-01	 3.1860e+01	 1.0420e+00
52.349	 1.2384e+00	0.8069	0.99883	 1.0235e+00	 9.9983e-01	 3.1847e+01	 1.0416e+00
52.377	 1.2385e+00	0.80751	0.99844	 1.0243e+00	 9.9987e-01	 3.1833e+01	 1.0414e+00
52.405	 1.2387e+00	0.80813	0.99801	 1.0251e+00	 9.9983e-01	 3.1820e+01	 1.0414e+00
52.432	 1.2387e+00	0.80874	0.9984	 1.0259e+00	 9.9973e-01	 3.1807e+01	 1.0414e+00
52.46	 1.2390e+00	0.80934	0.99771	 1.0267e+00	 9.9965e-01	 3.1794e+01	 1.0410e+00
52.488	 1.2399e+00	0.80996	0.99916	 1.0274e+00	 9.9961e-01	 3.1781e+01	 1.0404e+00
52.516	 1.2409e+00	0.81057	0.99814	 1.0282e+00	 9.9969e-01	 3.1768e+01	 1.0396e+00
52.544	 1.2421e+00	0.81118	0.999	 1.0290e+00	 9.9975e-01	 3.1755e+01	 1.0386e+00
52.572	 1.2428e+00	0.81179	0.99784	 1.0298e+00	 9.9981e-01	 3.1742e+01	 1.0379e+00
52.599	 1.2430e+00	0.8124	0.99827	 1.0306e+00	 9.9981e-01	 3.1729e+01	 1.0374e+00
52.627	 1.2429e+00	0.81302	0.99844	 1.0314e+00	 9.9981e-01	 3.1716e+01	 1.0372e+00
52.655	 1.2422e+00	0.81364	0.99821	 1.0322e+00	 9.9979e-01	 3.1703e+01	 1.0372e+00
52.683	 1.2418e+00	0.81425	0.99906	 1.0330e+00	 9.9975e-01	 3.1690e+01	 1.0373e+00
52.711	 1.2414e+00	0.81486	0.99814	 1.0338e+00	 9.9975e-01	 3.1677e+01	 1.0373e+00
52.738	 1.2417e+00	0.81548	0.9991	 1.0346e+00	 9.9971e-01	 3.1664e+01	 1.0370e+00
52.766	 1.2422e+00	0.81609	0.99811	 1.0354e+00	 9.9973e-01	 3.1651e+01	 1.0367e+00
52.794	 1.2427e+00	0.81671	0.99939	 1.0362e+00	 9.9973e-01	 3.1638e+01	 1.0363e+00
52.822	 1.2433e+00	0.81733	0.99877	 1.0370e+00	 9.9975e-01	 3.1626e+01	 1.0362e+00
52.85	 1.2430e+00	0.81795	0.9988	 1.0378e+00	 9.9977e-01	 3.1613e+01	 1.0365e+00
52.878	 1.2425e+00	0.81857	0.99913	 1.0386e+00	 9.9979e-01	 3.1600e+01	 1.0370e+00
52.906	 1.2416e+00	0.81919	0.99824	 1.0394e+00	 9.9987e-01	 3.1587e+01	 1.0378e+00
52.934	 1.2408e+00	0.8198	0.99939	 1.0402e+00	 9.9989e-01	 3.1574e+01	 1.0385e+00
52.962	 1.2405e+00	0.82042	0.9983	 1.0410e+00	 9.9987e-01	 3.1561e+01	 1.0391e+00
52.99	 1.2404e+00	0.82104	0.9989	 1.0418e+00	 9.9979e-01	 3.1549e+01	 1.0393e+00
53.018	 1.2409e+00	0.82166	0.99827	 1.0426e+00	 9.9977e-01	 3.1536e+01	 1.0393e+00
53.046	 1.2413e+00	0.82228	0.9992	 1.0434e+00	 9.9973e-01	 3.1523e+01	 1.0393e+00
53.074	 1.2415e+00	0.8229	0.99854	 1.0442e+00	 9.9977e-01	 3.1510e+01	 1.0392e+00
53.102	 1.2413e+00	0.82352	0.99817	 1.0451e+00	 9.9979e-01	 3.1497e+01	 1.0396e+00
53.13	 1.2405e+00	0.82415	0.99867	 1.0459e+00	 9.9975e-01	 3.1485e+01	 1.0401e+00
53.158	 1.2398e+00	0.82477	0.99797	 1.0467e+00	 9.9973e-01	 3.1472e+01	 1.0407e+00
53.186	 1.2388e+00	0.82539	0.99923	 1.0475e+00	 9.9969e-01	 3.1459e+01	 1.0414e+00
53.215	 1.2386e+00	0.82601	0.99837	 1.0483e+00	 9.9973e-01	 3.1447e+01	 1.0417e+00
53.243	 1.2388e+00	0.82664	0.99887	 1.0491e+00	 9.9973e-01	 3.1434e+01	 1.0417e+00
53.271	 1.2393e+00	0.82726	0.99751	 1.0499e+00	 9.9977e-01	 3.1421e+01	 1.0415e+00
53.299	 1.2402e+00	0.82788	0.99824	 1.0507e+00	 9.9977e-01	 3.1409e+01	 1.0412e+00
53.327	 1.2405e+00	0.82851	0.99817	 1.0515e+00	 9.9977e-01	 3.1396e+01	 1.0411e+00
53.355	 1.2407e+00	0.82913	0.99811	 1.0523e+00	 9.9981e-01	 3.1383e+01	 1.0412e+00
53.383	 1.2404e+00	0.82975	0.99897	 1.0532e+00	 9.9985e-01	 3.1371e+01	 1.0417e+00
53.411	 1.2398e+00	0.83038	0.99811	 1.0540e+00	 9.9991e-01	 3.1358e+01	 1.0423e+00
53.44	 1.2395e+00	0.831	0.9989	 1.0548e+00	 9.9987e-01	 3.1346e+01	 1.0428e+00
53.468	 1.2393e+00	0.83163	0.99768	 1.0556e+00	 9.9981e-01	 3.1333e+01	 1.0431e+00
53.496	 1.2399e+00	0.83225	0.9992	 1.0564e+00	 9.9973e-01	 3.1320e+01	 1.0431e+00
53.524	 1.2406e+00	0.83288	0.99897	 1.0572e+00	 9.9971e-01	 3.1308e+01	 1.0429e+00
53.552	 1.2415e+00	0.8335	0.99906	 1.0580e+00	 9.9973e-01	 3.1295e+01	 1.0426e+00
53.581	 1.2422e+00	0.83413	0.99897	 1.0589e+00	 9.9977e-01	 3.1283e+01	 1.0425e+00
53.609	 1.2422e+00	0.83476	0.99834	 1.0597e+00	 9.9981e-01	 3.1270e+01	 1.0427e+00
53.637	 1.2420e+00	0.83538	0.9987	 1.0605e+00	 9.9979e-01	 3.1258e+01	 1.0431e+00
53.665	 1.2414e+00	0.836	0.99755	 1.0613e+00	 9.9973e-01	 3.1246e+01	 1.0437e+00
53.694	 1.2411e+00	0.83664	0.9989	 1.0621e+00	 9.9963e-01	 3.1233e+01	 1.0442e+00
53.722	 1.2411e+00	0.83726	0.99794	 1.0630e+00	 9.9955e-01	 3.1221e+01	 1.0446e+00
53.75	 1.2414e+00	0.83789	0.99913	 1.0638e+00	 9.9951e-01	 3.1208e+01	 1.0446e+00
53.778	 1.2424e+00	0.83852	0.9983	 1.0646e+00	 9.9953e-01	 3.1196e+01	 1.0445e+00
53.807	 1.2431e+00	0.83915	0.99837	 1.0654e+00	 9.9959e-01	 3.1184e+01	 1.0443e+00
53.835	 1.2438e+00	0.83978	0.99903	 1.0662e+00	 9.9961e-01	 3.1171e+01	 1.0442e+00
53.863	 1.2440e+00	0.84041	0.99867	 1.0671e+00	 9.9967e-01	 3.1159e+01	 1.0444e+00
53.892	 1.2436e+00	0.84104	0.9993	 1.0679e+00	 9.9969e-01	 3.1146e+01	 1.0448e+00
53.92	 1.2433e+00	0.84167	0.99797	 1.0687e+00	 9.9975e-01	 3.1134e+01	 1.0453e+00
53.948	 1.2427e+00	0.8423	0.99933	 1.0695e+00	 9.9975e-01	 3.1122e+01	 1.0457e+00
53.977	 1.2429e+00	0.84294	0.9983	 1.0704e+00	 9.9975e-01	 3.1110e+01	 1.0458e+00
54.005	 1.2432e+00	0.84357	0.9986	 1.0712e+00	 9.9969e-01	 3.1097e+01	 1.0456e+00
54.033	 1.2441e+00	0.84421	0.99811	 1.0720e+00	 9.9963e-01	 3.1085e+01	 1.0449e+00
54.062	 1.2450e+00	0.84485	0.99788	 1.0729e+00	 9.9957e-01	 3.1073e+01	 1.0443e+00
54.09	 1.2455e+00	0.84548	0.99857	 1.0737e+00	 9.9953e-01	 3.1061e+01	 1.0437e+00
54.119	 1.2458e+00	0.84612	0.99797	 1.0745e+00	 9.9957e-01	 3.1048e+01	 1.0434e+00
54.147	 1.2454e+00	0.84676	0.99913	 1.0753e+00	 9.9961e-01	 3.1036e+01	 1.0433e+00
54.175	 1.2450e+00	0.84739	0.99771	 1.0762e+00	 9.9971e-01	 3.1024e+01	 1.0433e+00
54.204	 1.2447e+00	0.84802	0.99863	 1.0770e+00	 9.9975e-01	 3.1012e+01	 1.0432e+00
54.232	 1.2445e+00	0.84866	0.99784	 1.0778e+00	 9.9977e-01	 3.0999e+01	 1.0428e+00
54.261	 1.2452e+00	0.84929	0.99863	 1.0787e+00	 9.9981e-01	 3.0987e+01	 1.0422e+00
54.289	 1.2459e+00	0.84993	0.99863	 1.0795e+00	 9.9985e-01	 3.0975e+01	 1.0413e+00
54.318	 1.2470e+00	0.85057	0.99811	 1.0803e+00	 9.9989e-01	 3.0963e+01	 1.0404e+00
54.346	 1.2476e+00	0.8512	0.9988	 1.0812e+00	 9.9985e-01	 3.0951e+01	 1.0397e+00
54.374	 1.2477e+00	0.85184	0.99794	 1.0820e+00	 9.9977e-01	 3.0939e+01	 1.0392e+00
54.403	 1.2476e+00	0.85249	0.99939	 1.0828e+00	 9.9965e-01	 3.0927e+01	 1.0390e+00
54.431	 1.2470e+00	0.85313	0.9985	 1.0837e+00	 9.9963e-01	 3.0914e+01	 1.0390e+00
54.46	 1.2468e+00	0.85377	0.99913	 1.0845e+00	 9.9961e-01	 3.0902e+01	 1.0389e+00
54.489	 1.2467e+00	0.85441	0.99844	 1.0853e+00	 9.9969e-01	 3.0890e+01	 1.0387e+00
54.517	 1.2472e+00	0.85505	0.99863	 1.0862e+00	 9.9977e-01	 3.0878e+01	 1.0380e+00
54.546	 1.2480e+00	0.85569	0.99821	 1.0870e+00	 9.9981e-01	 3.0866e+01	 1.0373e+00
54.574	 1.2487e+00	0.85634	0.99735	 1.0878e+00	 9.9981e-01	 3.0854e+01	 1.0365e+00
54.603	 1.2494e+00	0.85698	0.99863	 1.0887e+00	 9.9971e-01	 3.0842e+01	 1.0359e+00
54.631	 1.2492e+00	0.85762	0.99774	 1.0895e+00	 9.9961e-01	 3.0830e+01	 1.0357e+00
54.66	 1.2489e+00	0.85827	0.999	 1.0903e+00	 9.9951e-01	 3.0818e+01	 1.0356e+00
54.688	 1.2483e+00	0.85892	0.99811	 1.0912e+00	 9.9951e-01	 3.0806e+01	 1.0358e+00
54.717	 1.2477e+00	0.85956	0.9991	 1.0920e+00	 9.9953e-01	 3.0794e+01	 1.0358e+00
54.746	 1.2478e+00	0.86021	0.99873	 1.0929e+00	 9.9959e-01	 3.0782e+01	 1.0357e+00
54.774	 1.2480e+00	0.86086	0.99834	 1.0937e+00	 9.9967e-01	 3.0770e+01	 1.0353e+00
54.803	 1.2488e+00	0.86151	0.9986	 1.0946e+00	 9.9973e-01	 3.0759e+01	 1.0346e+00
54.831	 1.2495e+00	0.86215	0.9983	 1.0954e+00	 9.9975e-01	 3.0747e+01	 1.0340e+00
54.86	 1.2500e+00	0.8628	0.999	 1.0962e+00	 9.9975e-01	 3.0735e+01	 1.0336e+00
54.889	 1.2502e+00	0.86345	0.99764	 1.0971e+00	 9.9971e-01	 3.0723e+01	 1.0335e+00
54.917	 1.2495e+00	0.8641	0.99933	 1.0979e+00	 9.9959e-01	 3.0711e+01	 1.0337e+00
54.946	 1.2492e+00	0.86475	0.9987	 1.0988e+00	 9.9953e-01	 3.0699e+01	 1.0341e+00
54.975	 1.2486e+00	0.8654	0.99873	 1.0996e+00	 9.9951e-01	 3.0687e+01	 1.0345e+00
55.003	 1.2486e+00	0.86604	0.99877	 1.1005e+00	 9.9953e-01	 3.0676e+01	 1.0346e+00
55.032	 1.2491e+00	0.86669	0.99906	 1.1013e+00	 9.9959e-01	 3.0664e+01	 1.0345e+00
55.061	 1.2498e+00	0.86735	0.99887	 1.1022e+00	 9.9965e-01	 3.0652e+01	 1.0341e+00
55.09	 1.2508e+00	0.868	0.99814	 1.1030e+00	 9.9977e-01	 3.0640e+01	 1.0338e+00
55.118	 1.2511e+00	0.86865	0.99946	 1.1039e+00	 9.9979e-01	 3.0628e+01	 1.0336e+00
55.147	 1.2512e+00	0.86931	0.99794	 1.1047e+00	 9.9985e-01	 3.0617e+01	 1.0337e+00
55.176	 1.2507e+00	0.86996	0.99854	 1.1056e+00	 9.9985e-01	 3.0605e+01	 1.0341e+00
55.204	 1.2499e+00	0.87062	0.99807	 1.1064e+00	 9.9985e-01	 3.0593e+01	 1.0346e+00
55.233	 1.2495e+00	0.87127	0.9984	 1.1073e+00	 9.9977e-01	 3.0581e+01	 1.0351e+00
55.262	 1.2492e+00	0.87193	0.99821	 1.1082e+00	 9.9965e-01	 3.0570e+01	 1.0354e+00
55.291	 1.2495e+00	0.87259	0.99834	 1.1090e+00	 9.9955e-01	 3.0558e+01	 1.0353e+00
55.319	 1.2500e+00	0.87325	0.9992	 1.1099e+00	 9.9947e-01	 3.0546e+01	 1.0352e+00
55.348	 1.2505e+00	0.87391	0.99791	 1.1107e+00	 9.9951e-01	 3.0535e+01	 1.0349e+00
55.377	 1.2508e+00	0.87457	0.99913	 1.1116e+00	 9.9961e-01	 3.0523e+01	 1.0350e+00
55.406	 1.2502e+00	0.87523	0.99817	 1.1124e+00	 9.9973e-01	 3.0511e+01	 1.0353e+00
55.435	 1.2496e+00	0.87589	0.9989	 1.1133e+00	 9.9977e-01	 3.0500e+01	 1.0358e+00
55.463	 1.2484e+00	0.87655	0.99817	 1.1141e+00	 9.9975e-01	 3.0488e+01	 1.0365e+00
55.492	 1.2474e+00	0.87721	0.99863	 1.1150e+00	 9.9969e-01	 3.0477e+01	 1.0371e+00
55.521	 1.2469e+00	0.87787	0.999	 1.1159e+00	 9.9963e-01	 3.0465e+01	 1.0374e+00
55.55	 1.2464e+00	0.87854	0.99824	 1.1167e+00	 9.9961e-01	 3.0453e+01	 1.0374e+00
55.579	 1.2466e+00	0.87919	0.99887	 1.1176e+00	 9.9959e-01	 3.0442e+01	 1.0371e+00
55.608	 1.2464e+00	0.87985	0.99781	 1.1184e+00	 9.9967e-01	 3.0430e+01	 1.0369e+00
55.636	 1.2461e+00	0.88051	0.99933	 1.1193e+00	 9.9967e-01	 3.0419e+01	 1.0368e+00
55.665	 1.2452e+00	0.88117	0.99857	 1.1202e+00	 9.9965e-01	 3.0407e+01	 1.0371e+00
55.694	 1.2438e+00	0.88183	0.99897	 1.1210e+00	 9.9959e-01	 3.0396e+01	 1.0375e+00
55.723	 1.2426e+00	0.88249	0.99821	 1.1219e+00	 9.9957e-01	 3.0384e+01	 1.0380e+00
55.752	 1.2411e+00	0.88315	0.99847	 1.1227e+00	 9.9959e-01	 3.0373e+01	 1.0385e+00
55.781	 1.2405e+00	0.88382	0.9984	 1.1236e+00	 9.9963e-01	 3.0362e+01	 1.0387e+00
55.81	 1.2404e+00	0.88448	0.99738	 1.1245e+00	 9.9969e-01	 3.0350e+01	 1.0386e+00
55.839	 1.2406e+00	0.88514	0.9993	 1.1253e+00	 9.9967e-01	 3.0339e+01	 1.0383e+00
55.868	 1.2412e+00	0.88581	0.99837	 1.1262e+00	 9.9969e-01	 3.0327e+01	 1.0380e+00
55.897	 1.2413e+00	0.88648	0.99926	 1.1271e+00	 9.9965e-01	 3.0316e+01	 1.0379e+00
55.926	 1.2415e+00	0.88714	0.9985	 1.1279e+00	 9.9965e-01	 3.0305e+01	 1.0381e+00
55.955	 1.2412e+00	0.88781	0.99906	 1.1288e+00	 9.9963e-01	 3.0293e+01	 1.0385e+00
55.984	 1.2409e+00	0.88847	0.99867	 1.1297e+00	 9.9961e-01	 3.0282e+01	 1.0390e+00
56.013	 1.2412e+00	0.88913	0.9983	 1.1306e+00	 9.9959e-01	 3.0271e+01	 1.0395e+00
56.042	 1.2416e+00	0.88979	0.9989	 1.1314e+00	 9.9959e-01	 3.0259e+01	 1.0396e+00
56.071	 1.2430e+00	0.89046	0.99821	 1.1323e+00	 9.9967e-01	 3.0248e+01	 1.0395e+00
56.099	 1.2444e+00	0.89112	0.99933	 1.1332e+00	 9.9977e-01	 3.0237e+01	 1.0392e+00
56.128	 1.2461e+00	0.89179	0.99807	 1.1340e+00	 9.9987e-01	 3.0225e+01	 1.0388e+00
56.157	 1.2474e+00	0.89246	0.99913	 1.1349e+00	 9.9989e-01	 3.0214e+01	 1.0386e+00
56.186	 1.2480e+00	0.89313	0.9986	 1.1358e+00	 9.9989e-01	 3.0203e+01	 1.0387e+00
56.215	 1.2485e+00	0.89379	0.9985	 1.1367e+00	 9.9985e-01	 3.0192e+01	 1.0391e+00
56.244	 1.2484e+00	0.89446	0.99863	 1.1375e+00	 9.9985e-01	 3.0180e+01	 1.0396e+00
56.273	 1.2487e+00	0.89513	0.99844	 1.1384e+00	 9.9989e-01	 3.0169e+01	 1.0399e+00
56.303	 1.2491e+00	0.8958	0.99923	 1.1393e+00	 9.9991e-01	 3.0158e+01	 1.0400e+00
56.332	 1.2501e+00	0.89647	0.9984	 1.1402e+00	 9.9991e-01	 3.0147e+01	 1.0397e+00
56.361	 1.2514e+00	0.89715	0.9993	 1.1410e+00	 9.9983e-01	 3.0136e+01	 1.0392e+00
56.39	 1.2524e+00	0.89782	0.99814	 1.1419e+00	 9.9975e-01	 3.0124e+01	 1.0387e+00
56.419	 1.2534e+00	0.8985	0.99873	 1.1428e+00	 9.9963e-01	 3.0113e+01	 1.0384e+00
56.448	 1.2536e+00	0.89918	0.99807	 1.1437e+00	 9.9957e-01	 3.0102e+01	 1.0384e+00
56.477	 1.2534e+00	0.89985	0.9983	 1.1446e+00	 9.9953e-01	 3.0091e+01	 1.0386e+00
56.506	 1.2532e+00	0.90053	0.99873	 1.1454e+00	 9.9953e-01	 3.0080e+01	 1.0390e+00
56.535	 1.2529e+00	0.90121	0.99817	 1.1463e+00	 9.9955e-01	 3.0069e+01	 1.0393e+00
56.564	 1.2534e+00	0.90189	0.99916	 1.1472e+00	 9.9955e-01	 3.0058e+01	 1.0394e+00
56.594	 1.2539e+00	0.90257	0.9983	 1.1481e+00	 9.9961e-01	 3.0047e+01	 1.0392e+00
56.623	 1.2550e+00	0.90324	0.99903	 1.1490e+00	 9.9967e-01	 3.0036e+01	 1.0389e+00
56.652	 1.2560e+00	0.90393	0.99821	 1.1498e+00	 9.9975e-01	 3.0025e+01	 1.0386e+00
56.681	 1.2565e+00	0.90461	0.99926	 1.1507e+00	 9.9981e-01	 3.0014e+01	 1.0385e+00
56.71	 1.2568e+00	0.90529	0.99867	 1.1516e+00	 9.9983e-01	 3.0003e+01	 1.0387e+00
56.739	 1.2563e+00	0.90598	0.99827	 1.1525e+00	 9.9983e-01	 2.9992e+01	 1.0392e+00
56.769	 1.2559e+00	0.90666	0.99867	 1.1534e+00	 9.9977e-01	 2.9981e+01	 1.0398e+00
56.798	 1.2555e+00	0.90734	0.99824	 1.1543e+00	 9.9973e-01	 2.9970e+01	 1.0404e+00
56.827	 1.2555e+00	0.90803	0.99897	 1.1552e+00	 9.9965e-01	 2.9959e+01	 1.0405e+00
56.856	 1.2561e+00	0.90871	0.99814	 1.1561e+00	 9.9965e-01	 2.9948e+01	 1.0405e+00
56.885	 1.2566e+00	0.9094	0.99939	 1.1570e+00	 9.9967e-01	 2.9937e+01	 1.0402e+00
56.914	 1.2574e+00	0.91009	0.99817	 1.1579e+00	 9.9973e-01	 2.9926e+01	 1.0397e+00
56.944	 1.2577e+00	0.91078	0.9986	 1.1587e+00	 9.9973e-01	 2.9915e+01	 1.0396e+00
56.973	 1.2577e+00	0.91147	0.99844	 1.1596e+00	 9.9973e-01	 2.9904e+01	 1.0395e+00
57.002	 1.2573e+00	0.91215	0.9983	 1.1605e+00	 9.9975e-01	 2.9893e+01	 1.0398e+00
57.031	 1.2565e+00	0.91284	0.99893	 1.1614e+00	 9.9979e-01	 2.9882e+01	 1.0400e+00
57.061	 1.2563e+00	0.91352	0.99834	 1.1623e+00	 9.9983e-01	 2.9871e+01	 1.0401e+00
57.09	 1.2563e+00	0.91421	0.99906	 1.1632e+00	 9.9983e-01	 2.9861e+01	 1.0399e+00
57.119	 1.2569e+00	0.9149	0.99771	 1.1641e+00	 9.9981e-01	 2.9850e+01	 1.0394e+00
57.148	 1.2578e+00	0.91558	0.99873	 1.1650e+00	 9.9971e-01	 2.9839e+01	 1.0387e+00
57.178	 1.2584e+00	0.91627	0.9983	 1.1659e+00	 9.9967e-01	 2.9828e+01	 1.0379e+00
57.207	 1.2591e+00	0.91696	0.9985	 1.1668e+00	 9.9965e-01	 2.9817e+01	 1.0373e+00
57.236	 1.2588e+00	0.91765	0.99837	 1.1677e+00	 9.9969e-01	 2.9806e+01	 1.0370e+00
57.265	 1.2584e+00	0.91833	0.99844	 1.1686e+00	 9.9977e-01	 2.9796e+01	 1.0369e+00
57.295	 1.2576e+00	0.91902	0.9992	 1.1695e+00	 9.9983e-01	 2.9785e+01	 1.0369e+00
57.324	 1.2570e+00	0.91971	0.99784	 1.1704e+00	 9.9991e-01	 2.9774e+01	 1.0369e+00
57.353	 1.2570e+00	0.9204	0.99916	 1.1713e+00	 9.9989e-01	 2.9763e+01	 1.0367e+00
57.383	 1.2571e+00	0.92109	0.99814	 1.1722e+00	 9.9983e-01	 2.9753e+01	 1.0361e+00
57.412	 1.2578e+00	0.92179	0.99926	 1.1731e+00	 9.9973e-01	 2.9742e+01	 1.0355e+00
57.441	 1.2581e+00	0.92249	0.99883	 1.1740e+00	 9.9965e-01	 2.9731e+01	 1.0350e+00
57.471	 1.2583e+00	0.92318	0.99844	 1.1749e+00	 9.9959e-01	 2.9721e+01	 1.0346e+00
57.5	 1.2580e+00	0.92388	0.99837	 1.1758e+00	 9.9957e-01	 2.9710e+01	 1.0346e+00
57.529	 1.2570e+00	0.92457	0.99804	 1.1767e+00	 9.9959e-01	 2.9699e+01	 1.0349e+00
57.559	 1.2563e+00	0.92527	0.99933	 1.1776e+00	 9.9959e-01	 2.9689e+01	 1.0353e+00
57.588	 1.2554e+00	0.92596	0.99774	 1.1785e+00	 9.9965e-01	 2.9678e+01	 1.0356e+00
57.617	 1.2552e+00	0.92666	0.99854	 1.1794e+00	 9.9969e-01	 2.9667e+01	 1.0357e+00
57.647	 1.2553e+00	0.92736	0.99814	 1.1803e+00	 9.9975e-01	 2.9657e+01	 1.0356e+00
57.676	 1.2555e+00	0.92805	0.9989	 1.1812e+00	 9.9977e-01	 2.9646e+01	 1.0353e+00
57.705	 1.2560e+00	0.92875	0.99827	 1.1821e+00	 9.9977e-01	 2.9636e+01	 1.0350e+00
57.735	 1.2557e+00	0.92945	0.99821	 1.1830e+00	 9.9977e-01	 2.9625e+01	 1.0350e+00
57.764	 1.2554e+00	0.93015	0.99867	 1.1839e+00	 9.9973e-01	 2.9615e+01	 1.0353e+00
57.794	 1.2543e+00	0.93085	0.99801	 1.1848e+00	 9.9969e-01	 2.9604e+01	 1.0360e+00
57.823	 1.2531e+00	0.93154	0.99916	 1.1857e+00	 9.9961e-01	 2.9593e+01	 1.0367e+00
57.852	 1.2524e+00	0.93224	0.99784	 1.1867e+00	 9.9961e-01	 2.9583e+01	 1.0374e+00
57.882	 1.2519e+00	0.93294	0.99887	 1.1876e+00	 9.9963e-01	 2.9572e+01	 1.0378e+00
57.911	 1.2522e+00	0.93364	0.9983	 1.1885e+00	 9.9969e-01	 2.9562e+01	 1.0379e+00
57.941	 1.2526e+00	0.93434	0.99854	 1.1894e+00	 9.9973e-01	 2.9551e+01	 1.0380e+00
57.97	 1.2531e+00	0.93504	0.99814	 1.1903e+00	 9.9975e-01	 2.9541e+01	 1.0379e+00
58.0	 1.2536e+00	0.93574	0.99824	 1.1912e+00	 9.9975e-01	 2.9531e+01	 1.0382e+00
58.029	 1.2533e+00	0.93645	0.999	 1.1921e+00	 9.9975e-01	 2.9520e+01	 1.0386e+00
58.059	 1.2531e+00	0.93715	0.99784	 1.1930e+00	 9.9975e-01	 2.9510e+01	 1.0393e+00
58.088	 1.2525e+00	0.93785	0.99893	 1.1940e+00	 9.9971e-01	 2.9499e+01	 1.0400e+00
58.117	 1.2524e+00	0.93856	0.99781	 1.1949e+00	 9.9969e-01	 2.9489e+01	 1.0406e+00
58.147	 1.2528e+00	0.93926	0.99883	 1.1958e+00	 9.9965e-01	 2.9479e+01	 1.0409e+00
58.176	 1.2537e+00	0.93996	0.99844	 1.1967e+00	 9.9963e-01	 2.9468e+01	 1.0407e+00
58.206	 1.2551e+00	0.94067	0.99893	 1.1976e+00	 9.9961e-01	 2.9458e+01	 1.0403e+00
58.235	 1.2562e+00	0.94138	0.99867	 1.1985e+00	 9.9961e-01	 2.9448e+01	 1.0400e+00
58.265	 1.2574e+00	0.94209	0.99824	 1.1994e+00	 9.9963e-01	 2.9437e+01	 1.0396e+00
58.294	 1.2580e+00	0.9428	0.99887	 1.2004e+00	 9.9963e-01	 2.9427e+01	 1.0397e+00
58.324	 1.2581e+00	0.9435	0.99758	 1.2013e+00	 9.9967e-01	 2.9417e+01	 1.0398e+00
58.353	 1.2584e+00	0.94421	0.99903	 1.2022e+00	 9.9965e-01	 2.9406e+01	 1.0401e+00
58.383	 1.2586e+00	0.94492	0.99844	 1.2031e+00	 9.9967e-01	 2.9396e+01	 1.0402e+00
58.412	 1.2595e+00	0.94563	0.9989	 1.2040e+00	 9.9967e-01	 2.9386e+01	 1.0400e+00
58.442	 1.2605e+00	0.94634	0.99807	 1.2050e+00	 9.9971e-01	 2.9376e+01	 1.0396e+00
58.472	 1.2620e+00	0.94705	0.99811	 1.2059e+00	 9.9975e-01	 2.9365e+01	 1.0389e+00
58.501	 1.2634e+00	0.94776	0.99824	 1.2068e+00	 9.9981e-01	 2.9355e+01	 1.0383e+00
58.531	 1.2642e+00	0.94847	0.99791	 1.2077e+00	 9.9987e-01	 2.9345e+01	 1.0379e+00
58.56	 1.2648e+00	0.94918	0.99949	 1.2087e+00	 9.9987e-01	 2.9335e+01	 1.0378e+00
58.59	 1.2647e+00	0.94989	0.99827	 1.2096e+00	 9.9985e-01	 2.9324e+01	 1.0379e+00
58.619	 1.2646e+00	0.9506	0.99916	 1.2105e+00	 9.9977e-01	 2.9314e+01	 1.0380e+00
58.649	 1.2647e+00	0.95131	0.99801	 1.2114e+00	 9.9973e-01	 2.9304e+01	 1.0381e+00
58.678	 1.2649e+00	0.95203	0.9987	 1.2124e+00	 9.9973e-01	 2.9294e+01	 1.0379e+00
58.708	 1.2660e+00	0.95274	0.9985	 1.2133e+00	 9.9981e-01	 2.9284e+01	 1.0374e+00
58.738	 1.2668e+00	0.95345	0.99817	 1.2142e+00	 9.9987e-01	 2.9274e+01	 1.0368e+00
58.767	 1.2679e+00	0.95417	0.9989	 1.2151e+00	 9.9987e-01	 2.9264e+01	 1.0362e+00
58.797	 1.2684e+00	0.95488	0.99801	 1.2161e+00	 9.9987e-01	 2.9254e+01	 1.0360e+00
58.826	 1.2684e+00	0.95559	0.99867	 1.2170e+00	 9.9981e-01	 2.9243e+01	 1.0359e+00
58.856	 1.2683e+00	0.9563	0.99745	 1.2179e+00	 9.9983e-01	 2.9233e+01	 1.0361e+00
58.886	 1.2676e+00	0.95702	0.99873	 1.2189e+00	 9.9981e-01	 2.9223e+01	 1.0364e+00
58.915	 1.2676e+00	0.95774	0.99817	 1.2198e+00	 9.9979e-01	 2.9213e+01	 1.0366e+00
58.945	 1.2677e+00	0.95845	0.99854	 1.2207e+00	 9.9975e-01	 2.9203e+01	 1.0366e+00
58.974	 1.2684e+00	0.95917	0.9984	 1.2216e+00	 9.9969e-01	 2.9193e+01	 1.0362e+00
